Date,Hour,Occupation,Energy consumption [kwh],Week_day,Month
2018-01-10,7,0.0,343.8299999999872,Wednesday,January
2018-01-10,8,0.0,385.2100000001956,Wednesday,January
2018-01-10,9,0.0,441.0999999999767,Wednesday,January
2018-01-10,10,0.0,510.2600000000093,Wednesday,January
2018-01-10,11,0.0,489.11000000018976,Wednesday,January
2018-01-10,12,0.0,480.8499999998021,Wednesday,January
2018-01-10,13,0.0,483.0800000000163,Wednesday,January
2018-01-10,14,0.0,477.0100000000093,Wednesday,January
2018-01-10,15,68.0,465.12999999997555,Wednesday,January
2018-01-10,16,68.0,446.87000000019907,Wednesday,January
2018-01-10,17,11.0,429.96999999979744,Wednesday,January
2018-01-10,18,5.5,408.4999999998254,Wednesday,January
2018-01-10,19,0.0,349.61000000018976,Wednesday,January
2018-01-10,20,0.0,228.05999999999767,Wednesday,January
2018-01-10,21,0.0,214.7399999999907,Wednesday,January
2018-01-10,22,0.0,198.62000000019907,Wednesday,January
2018-01-10,23,0.0,194.62999999980093,Wednesday,January
2018-01-11,0,0.0,191.71000000002095,Thursday,January
2018-01-11,1,0.0,192.41000000017812,Thursday,January
2018-01-11,2,0.0,195.0299999998242,Thursday,January
2018-01-11,3,0.0,196.5299999997951,Thursday,January
2018-01-11,4,0.0,201.44000000038068,Thursday,January
2018-01-11,5,0.0,221.95000000001164,Thursday,January
2018-01-11,6,0.0,333.7699999996112,Thursday,January
2018-01-11,7,0.0,349.36000000018976,Thursday,January
2018-01-11,8,0.0,436.2499999998254,Thursday,January
2018-01-11,9,0.0,463.03000000017346,Thursday,January
2018-01-11,10,0.0,483.35999999998603,Thursday,January
2018-01-11,11,0.0,491.2400000000198,Thursday,January
2018-01-11,12,0.0,498.7200000001758,Thursday,January
2018-01-11,13,0.0,477.9899999999907,Thursday,January
2018-01-11,14,0.0,455.2899999998335,Thursday,January
2018-01-11,15,75.0,441.96999999979744,Thursday,January
2018-01-11,16,75.0,438.96000000002095,Thursday,January
2018-01-11,17,25.0,426.6499999999942,Thursday,January
2018-01-11,18,1.0,418.83000000036554,Thursday,January
2018-01-11,19,0.0,361.73999999981606,Thursday,January
2018-01-11,20,0.0,237.97000000000116,Thursday,January
2018-01-11,21,0.0,212.0,Thursday,January
2018-01-11,22,0.0,198.6099999998114,Thursday,January
2018-01-11,23,0.0,191.25000000037835,Thursday,January
2018-01-12,0,0.0,192.26999999961117,Friday,January
2018-01-12,1,0.0,189.84000000020023,Friday,January
2018-01-12,2,0.0,190.46999999979744,Friday,January
2018-01-12,3,0.0,190.8100000002014,Friday,January
2018-01-12,4,0.0,194.79999999998836,Friday,January
2018-01-12,5,0.0,215.39000000001397,Friday,January
2018-01-12,6,0.0,336.35999999998603,Friday,January
2018-01-12,7,0.0,348.4000000001979,Friday,January
2018-01-12,8,0.0,443.96999999982654,Friday,January
2018-01-12,9,0.0,469.04999999998836,Friday,January
2018-01-12,10,0.0,487.07999999981257,Friday,January
2018-01-12,11,0.0,499.36000000018976,Friday,January
2018-01-12,12,0.0,474.7100000001956,Friday,January
2018-01-12,13,0.0,489.1899999997986,Friday,January
2018-01-12,14,0.0,469.3399999999965,Friday,January
2018-01-12,15,54.0,467.3300000000163,Friday,January
2018-01-12,16,54.0,454.5999999999767,Friday,January
2018-01-12,17,24.0,410.5199999998149,Friday,January
2018-01-12,18,0.0,383.89000000001397,Friday,January
2018-01-12,19,0.0,325.4700000003795,Friday,January
2018-01-12,20,0.0,207.79999999981374,Friday,January
2018-01-12,21,0.0,197.4100000000035,Friday,January
2018-01-12,22,0.0,190.50000000017462,Friday,January
2018-01-12,23,0.0,190.40999999962514,Friday,January
2018-01-13,0,0.0,187.3900000001886,Saturday,January
2018-01-13,1,0.0,184.87000000016997,Saturday,January
2018-01-13,2,0.0,187.20000000001164,Saturday,January
2018-01-13,3,0.0,186.98999999981606,Saturday,January
2018-01-13,4,0.0,186.69000000000233,Saturday,January
2018-01-13,5,0.0,185.6699999999837,Saturday,January
2018-01-13,6,0.0,185.48999999981606,Saturday,January
2018-01-13,7,0.0,190.58000000039465,Saturday,January
2018-01-13,8,0.0,180.98999999981606,Saturday,January
2018-01-13,9,0.0,181.4399999997986,Saturday,January
2018-01-13,10,0.0,181.83000000019092,Saturday,January
